Formula	Result	ResultType	ResultMatchRule	Priority:Int	CourseName
56÷8= 	7	Int	^[0-9]+$	1	数学
45÷9= 	5	Int	^[0-9]+$	1	数学
42÷6= 	7	Int	^[0-9]+$	1	数学
2×6÷4= 	3	Int	^[0-9]+$	1	数学
6×3= 	18	Int	^[0-9]+$	1	数学
40÷8= 	5	Int	^[0-9]+$	1	数学
42÷7= 	6	Int	^[0-9]+$	1	数学
6×2= 	12	Int	^[0-9]+$	1	数学
5×6+41= 	71	Int	^[0-9]+$	1	数学
5×8= 	40	Int	^[0-9]+$	1	数学
14÷7= 	2	Int	^[0-9]+$	1	数学
4×3= 	12	Int	^[0-9]+$	1	数学
30÷6= 	5	Int	^[0-9]+$	1	数学
25÷5×8= 	40	Int	^[0-9]+$	1	数学
3×9= 	27	Int	^[0-9]+$	1	数学
7×5= 	35	Int	^[0-9]+$	1	数学
7＋56= 	63	Int	^[0-9]+$	1	数学
81÷9= 	9	Int	^[0-9]+$	1	数学
7×7= 	49	Int	^[0-9]+$	1	数学
27÷9= 	3	Int	^[0-9]+$	1	数学
83－20= 	63	Int	^[0-9]+$	1	数学
24+8= 	32	Int	^[0-9]+$	1	数学
130+80= 	210	Int	^[0-9]+$	1	数学
27÷9= 	3	Int	^[0-9]+$	1	数学
16÷4×8= 	32	Int	^[0-9]+$	1	数学
73－4= 	69	Int	^[0-9]+$	1	数学
18+21= 	39	Int	^[0-9]+$	1	数学
13+17= 	30	Int	^[0-9]+$	1	数学
37+3= 	40	Int	^[0-9]+$	1	数学
6+24= 	30	Int	^[0-9]+$	1	数学
25+1= 	26	Int	^[0-9]+$	1	数学
3+4= 	7	Int	^[0-9]+$	1	数学
10+37= 	47	Int	^[0-9]+$	1	数学
30+3= 	33	Int	^[0-9]+$	1	数学
25+4= 	29	Int	^[0-9]+$	1	数学
7＋63= 	70	Int	^[0-9]+$	1	数学
44－9= 	35	Int	^[0-9]+$	1	数学
9×6= 	54	Int	^[0-9]+$	1	数学
61＋27= 	88	Int	^[0-9]+$	1	数学
56－30= 	26	Int	^[0-9]+$	1	数学
36＋22= 	58	Int	^[0-9]+$	1	数学
21÷3= 	7	Int	^[0-9]+$	1	数学
38＋26= 	64	Int	^[0-9]+$	1	数学
27＋71= 	98	Int	^[0-9]+$	1	数学
42÷7= 	6	Int	^[0-9]+$	1	数学
15÷5= 	3	Int	^[0-9]+$	1	数学
15÷3= 	5	Int	^[0-9]+$	1	数学
6×5+37= 	67	Int	^[0-9]+$	1	数学
11－40÷8= 	6	Int	^[0-9]+$	1	数学
500－60= 	440	Int	^[0-9]+$	1	数学
36÷6= 	6	Int	^[0-9]+$	1	数学
43＋32= 	75	Int	^[0-9]+$	1	数学
46＋10= 	56	Int	^[0-9]+$	1	数学
5×9= 	45	Int	^[0-9]+$	1	数学
27＋25= 	52	Int	^[0-9]+$	1	数学
45÷5= 	9	Int	^[0-9]+$	1	数学
8÷8= 	1	Int	^[0-9]+$	1	数学
54÷6= 	9	Int	^[0-9]+$	1	数学
30÷6= 	5	Int	^[0-9]+$	1	数学
42÷6= 	7	Int	^[0-9]+$	1	数学
9×4= 	36	Int	^[0-9]+$	1	数学
9÷1= 	9	Int	^[0-9]+$	1	数学
9×4= 	36	Int	^[0-9]+$	1	数学
36+23=	59	Int	^[0-9]+$	1	数学
( )－ 2=35 	37	Int	^[0-9]+$	1	数学
46－24= 	22	Int	^[0-9]+$	1	数学
9÷9= 	1	Int	^[0-9]+$	1	数学
64÷8= 	8	Int	^[0-9]+$	1	数学
15÷3= 	5	Int	^[0-9]+$	1	数学
64÷8= 	8	Int	^[0-9]+$	1	数学
6×7= 	42	Int	^[0-9]+$	1	数学
63÷9= 	7	Int	^[0-9]+$	1	数学
4×2= 	8	Int	^[0-9]+$	1	数学
9÷3= 	3	Int	^[0-9]+$	1	数学
83－29= 	54	Int	^[0-9]+$	1	数学
25÷5= 	5	Int	^[0-9]+$	1	数学
10×35= 	350	Int	^[0-9]+$	1	数学
210÷7= 	30	Int	^[0-9]+$	1	数学
12÷3÷2= 	2	Int	^[0-9]+$	1	数学
51－4×6= 	27	Int	^[0-9]+$	1	数学
21＋15= 	36	Int	^[0-9]+$	1	数学
96－44= 	52	Int	^[0-9]+$	1	数学
40÷8= 	5	Int	^[0-9]+$	1	数学
